State,County Name,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other
CT,New Haven County,Distribution of population (%),10610,1751,0.616,0.13,0.002,0.042,0,0.191,0.018
CT,New London County,Distribution of all-cause deaths (%),2772,344,0.895,0.038,0.006,0.015,,0.038,0.006
CT,New London County,Distribution of COVID-19 deaths (%),2772,344,0.881,0.038,,,,0.061,
CT,New London County,Distribution of population (%),2772,344,0.751,0.057,0.008,0.042,0.001,0.111,0.031
DC,District of Columbia,Distribution of all-cause deaths (%),7989,1135,0.217,0.696,0.002,0.021,,0.059,0.005
DC,District of Columbia,Distribution of COVID-19 deaths (%),7989,1135,0.138,0.685,,0.019,,0.152,
DC,District of Columbia,Distribution of population (%),7989,1135,0.374,0.444,0.002,0.043,0,0.113,0.024
DE,Kent County,Distribution of all-cause deaths (%),2169,224,0.74,0.224,,0.009,,0.021,0.005
DE,Kent County,Distribution of COVID-19 deaths (%),2169,224,0.652,0.304,,,,,
DE,Kent County,Distribution of population (%),2169,224,0.604,0.26,0.005,0.023,0.001,0.074,0.034
DE,New Castle County,Distribution of all-cause deaths (%),6340,600,0.732,0.22,,0.015,,0.032,0.002
DE,New Castle County,Distribution of COVID-19 deaths (%),6340,600,0.745,0.2,,,,0.043,
DE,New Castle County,Distribution of population (%),6340,600,0.563,0.251,0.002,0.057,0,0.104,0.023
DE,Sussex County,Distribution of all-cause deaths (%),3190,362,0.869,0.103,0.004,0.006,,0.018,
DE,Sussex County,Distribution of COVID-19 deaths (%),3190,362,0.762,0.174,,,,0.047,
DE,Sussex County,Distribution of population (%),3190,362,0.753,0.117,0.004,0.013,0,0.093,0.019
FL,Alachua County,Distribution of all-cause deaths (%),4486,516,0.753,0.184,,0.016,,0.039,0.007
FL,Alachua County,Distribution of COVID-19 deaths (%),4486,516,0.657,0.295,,,,0.037,
FL,Alachua County,Distribution of population (%),4486,516,0.606,0.2,0.003,0.06,0.001,0.105,0.026
FL,Bay County,Distribution of all-cause deaths (%),2426,293,0.871,0.087,,0.011,,0.022,0.007
FL,Bay County,Distribution of COVID-19 deaths (%),2426,293,0.809,0.116,,,,0.051,
FL,Bay County,Distribution of population (%),2426,293,0.765,0.108,0.006,0.023,0.001,0.067,0.03
FL,Brevard County,Distribution of all-cause deaths (%),9095,642,0.852,0.082,0.001,0.011,,0.05,0.003
FL,Brevard County,Distribution of COVID-19 deaths (%),9095,642,0.757,0.143,,0.017,,0.079,
FL,Brevard County,Distribution of population (%),9095,642,0.738,0.1,0.003,0.025,0.001,0.109,0.024
FL,Broward County,Distribution of all-cause deaths (%),19671,2281,0.556,0.235,0.001,0.018,,0.184,0.006
FL,Broward County,Distribution of COVID-19 deaths (%),19671,2281,0.349,0.329,,0.021,,0.294,
FL,Broward County,Distribution of population (%),19671,2281,0.348,0.284,0.002,0.037,0.001,0.311,0.017
FL,Charlotte County,Distribution of all-cause deaths (%),3619,311,0.924,0.036,,0.004,,0.032,
FL,Charlotte County,Distribution of COVID-19 deaths (%),3619,311,0.887,0.048,,,,0.055,
FL,Charlotte County,Distribution of population (%),3619,311,0.838,0.054,0.003,0.014,0,0.077,0.014
FL,Citrus County,Distribution of all-cause deaths (%),3324,266,0.938,0.022,,0.004,,0.032,0.003
FL,Citrus County,Distribution of COVID-19 deaths (%),3324,266,0.914,,,,,0.053,
FL,Citrus County,Distribution of population (%),3324,266,0.875,0.029,0.004,0.016,0,0.061,0.015
FL,Clay County,Distribution of all-cause deaths (%),2740,267,0.803,0.128,,0.022,,0.038,0.007
FL,Clay County,Distribution of COVID-19 deaths (%),2740,267,0.678,0.195,,0.052,,0.064,
FL,Clay County,Distribution of population (%),2740,267,0.716,0.116,0.004,0.03,0.001,0.104,0.029
FL,Collier County,Distribution of all-cause deaths (%),4558,456,0.85,0.033,,0.007,,0.106,0.002
FL,Collier County,Distribution of COVID-19 deaths (%),4558,456,0.719,0.066,,,,0.206,
FL,Collier County,Distribution of population (%),4558,456,0.622,0.066,0.002,0.015,0,0.286,0.009
FL,Columbia County,Distribution of all-cause deaths (%),1248,142,0.846,0.108,,0.009,,0.03,
FL,Columbia County,Distribution of COVID-19 deaths (%),1248,142,0.824,0.127,,,,,
FL,Columbia County,Distribution of population (%),1248,142,0.718,0.182,0.005,0.01,0.001,0.067,0.018
FL,Duval County,Distribution of all-cause deaths (%),12726,1272,0.683,0.251,,0.019,,0.041,0.005
FL,Duval County,Distribution of COVID-19 deaths (%),12726,1272,0.641,0.276,,0.031,,0.047,
FL,Duval County,Distribution of population (%),12726,1272,0.52,0.296,0.003,0.049,0.001,0.105,0.026
FL,Escambia County,Distribution of all-cause deaths (%),6045,686,0.769,0.196,0.003,0.013,,0.014,0.004
FL,Escambia County,Distribution of COVID-19 deaths (%),6045,686,0.681,0.284,,0.015,,,
FL,Escambia County,Distribution of population (%),6045,686,0.639,0.227,0.008,0.032,0.002,0.059,0.033
FL,Hernando County,Distribution of all-cause deaths (%),3560,302,0.892,0.037,,0.004,,0.062,0.005
FL,Hernando County,Distribution of COVID-19 deaths (%),3560,302,0.858,0.043,,,,0.083,
FL,Hernando County,Distribution of population (%),3560,302,0.764,0.052,0.003,0.013,0.001,0.148,0.018
FL,Highlands County,Distribution of all-cause deaths (%),2251,268,0.831,0.068,,,,0.089,0.005
FL,Highlands County,Distribution of COVID-19 deaths (%),2251,268,0.724,0.112,,,,0.157,
FL,Highlands County,Distribution of population (%),2251,268,0.661,0.096,0.004,0.014,0,0.211,0.014
FL,Hillsborough County,Distribution of all-cause deaths (%),15147,1376,0.642,0.148,0.001,0.017,,0.186,0.005
FL,Hillsborough County,Distribution of COVID-19 deaths (%),15147,1376,0.544,0.157,,0.015,,0.281,
FL,Hillsborough County,Distribution of population (%),15147,1376,0.476,0.16,0.002,0.043,0.001,0.297,0.021
FL,Indian River County,Distribution of all-cause deaths (%),2649,181,0.895,0.061,,0.004,,0.035,
FL,Indian River County,Distribution of COVID-19 deaths (%),2649,181,0.751,0.138,,,,0.088,
FL,Indian River County,Distribution of population (%),2649,181,0.75,0.091,0.002,0.016,0,0.127,0.014
FL,Lake County,Distribution of all-cause deaths (%),5230,451,0.842,0.078,,0.009,,0.067,0.003
FL,Lake County,Distribution of COVID-19 deaths (%),5230,451,0.749,0.109,,,,0.124,
FL,Lake County,Distribution of population (%),5230,451,0.686,0.104,0.003,0.021,0.001,0.167,0.018
FL,Lee County,Distribution of all-cause deaths (%),9387,755,0.847,0.053,,0.007,,0.09,0.003
FL,Lee County,Distribution of COVID-19 deaths (%),9387,755,0.735,0.09,,,,0.171,
FL,Lee County,Distribution of population (%),9387,755,0.662,0.081,0.002,0.017,0,0.225,0.013
FL,Leon County,Distribution of all-cause deaths (%),3870,481,0.677,0.289,,0.007,,0.022,0.003
FL,Leon County,Distribution of COVID-19 deaths (%),3870,481,0.59,0.37,,,,0.031,
FL,Leon County,Distribution of population (%),3870,481,0.559,0.314,0.002,0.036,0,0.067,0.022
FL,Manatee County,Distribution of all-cause deaths (%),5454,502,0.864,0.07,,0.006,,0.056,0.002
FL,Manatee County,Distribution of COVID-19 deaths (%),5454,502,0.725,0.124,,,,0.137,
FL,Manatee County,Distribution of population (%),5454,502,0.706,0.085,0.002,0.022,0.001,0.169,0.016
FL,Marion County,Distribution of all-cause deaths (%),6587,631,0.835,0.088,0.002,0.007,,0.064,0.004
FL,Marion County,Distribution of COVID-19 deaths (%),6587,631,0.761,0.132,,,,0.097,
FL,Marion County,Distribution of population (%),6587,631,0.696,0.125,0.003,0.017,0.001,0.141,0.017
FL,Martin County,Distribution of all-cause deaths (%),2517,344,0.912,0.037,,0.006,,0.042,
FL,Martin County,Distribution of COVID-19 deaths (%),2517,344,0.808,0.09,,,,0.087,
FL,Martin County,Distribution of population (%),2517,344,0.777,0.052,0.002,0.014,0.001,0.142,0.013
FL,Miami-Dade County,Distribution of all-cause deaths (%),28536,4585,0.176,0.171,0.001,0.009,,0.64,0.003
FL,Miami-Dade County,Distribution of COVID-19 deaths (%),28536,4585,0.108,0.147,,0.007,,0.735,0.003
FL,Miami-Dade County,Distribution of population (%),28536,4585,0.129,0.153,0.001,0.015,0,0.694,0.007
FL,Okaloosa County,Distribution of all-cause deaths (%),2529,260,0.866,0.072,,0.019,,0.03,0.009
FL,Okaloosa County,Distribution of COVID-19 deaths (%),2529,260,0.788,0.092,,0.046,,0.065,
FL,Okaloosa County,Distribution of population (%),2529,260,0.729,0.097,0.006,0.03,0.002,0.097,0.039
FL,Orange County,Distribution of all-cause deaths (%),12586,1208,0.56,0.194,0.001,0.028,,0.211,0.004
FL,Orange County,Distribution of COVID-19 deaths (%),12586,1208,0.43,0.221,,0.033,,0.31,
FL,Orange County,Distribution of population (%),12586,1208,0.393,0.202,0.002,0.055,0.001,0.326,0.02
FL,Osceola County,Distribution of all-cause deaths (%),3249,393,0.478,0.108,,0.023,,0.388,
FL,Osceola County,Distribution of COVID-19 deaths (%),3249,393,0.275,0.099,,,,0.606,
FL,Osceola County,Distribution of population (%),3249,393,0.301,0.097,0.002,0.027,0.001,0.558,0.015
FL,Palm Beach County,Distribution of all-cause deaths (%),19739,2291,0.76,0.124,0.001,0.009,,0.103,0.003
FL,Palm Beach County,Distribution of COVID-19 deaths (%),19739,2291,0.614,0.19,,0.008,,0.185,
FL,Palm Beach County,Distribution of population (%),19739,2291,0.535,0.187,0.002,0.028,0,0.233,0.014
FL,Pasco County,Distribution of all-cause deaths (%),7677,534,0.886,0.032,0.002,0.01,,0.066,0.004
FL,Pasco County,Distribution of COVID-19 deaths (%),7677,534,0.82,0.045,,,,0.114,
FL,Pasco County,Distribution of population (%),7677,534,0.727,0.058,0.003,0.027,0.001,0.165,0.02
FL,Pinellas County,Distribution of all-cause deaths (%),15595,1256,0.859,0.078,0.001,0.014,,0.043,0.004
FL,Pinellas County,Distribution of COVID-19 deaths (%),15595,1256,0.802,0.111,,0.025,,0.056,
FL,Pinellas County,Distribution of population (%),15595,1256,0.736,0.105,0.002,0.035,0.001,0.102,0.02
FL,Polk County,Distribution of all-cause deaths (%),8941,908,0.774,0.12,,0.006,,0.095,0.003
FL,Polk County,Distribution of COVID-19 deaths (%),8941,908,0.654,0.178,,,,0.153,
FL,Polk County,Distribution of population (%),8941,908,0.569,0.146,0.003,0.018,0.001,0.246,0.017
FL,St. Lucie County,Distribution of all-cause deaths (%),4154,328,0.751,0.149,,0.008,,0.086,0.005
FL,St. Lucie County,Distribution of COVID-19 deaths (%),4154,328,0.564,0.232,,,,0.177,
FL,St. Lucie County,Distribution of population (%),4154,328,0.558,0.202,0.002,0.019,0.001,0.199,0.019
FL,Sarasota County,Distribution of all-cause deaths (%),7441,694,0.923,0.034,,0.006,,0.033,0.003
FL,Sarasota County,Distribution of COVID-19 deaths (%),7441,694,0.876,0.043,,,,0.069,
FL,Sarasota County,Distribution of population (%),7441,694,0.827,0.043,0.002,0.018,0,0.096,0.014
FL,Seminole County,Distribution of all-cause deaths (%),4179,260,0.735,0.115,,0.021,,0.122,0.005
FL,Seminole County,Distribution of COVID-19 deaths (%),4179,260,0.654,0.15,,0.038,,0.154,
FL,Seminole County,Distribution of population (%),4179,260,0.588,0.115,0.002,0.048,0.001,0.224,0.022
FL,Sumter County,Distribution of all-cause deaths (%),2828,198,0.932,0.036,,0.006,,0.021,
FL,Sumter County,Distribution of COVID-19 deaths (%),2828,198,0.859,,,,,0.076,
FL,Sumter County,Distribution of population (%),2828,198,0.85,0.069,0.003,0.009,0.001,0.059,0.009
FL,Volusia County,Distribution of all-cause deaths (%),9147,560,0.856,0.072,,0.006,,0.063,0.003
FL,Volusia County,Distribution of COVID-19 deaths (%),9147,560,0.746,0.125,,,,0.114,
FL,Volusia County,Distribution of population (%),9147,560,0.706,0.104,0.003,0.019,0,0.15,0.018
GA,Bartow County,Distribution of all-cause deaths (%),1225,110,0.883,0.096,,,,0.016,
GA,Bartow County,Distribution of COVID-19 deaths (%),1225,110,0.9,,,,,,
GA,Bartow County,Distribution of population (%),1225,110,0.769,0.108,0.003,0.01,0.001,0.092,0.018
GA,Bibb County,Distribution of all-cause deaths (%),3563,470,0.528,0.456,,0.006,,0.008,
GA,Bibb County,Distribution of COVID-19 deaths (%),3563,470,0.47,0.513,,,,,
GA,Bibb County,Distribution of population (%),3563,470,0.374,0.552,0.002,0.021,0.001,0.035,0.015
GA,Carroll County,Distribution of all-cause deaths (%),1632,248,0.848,0.137,,,,0.012,
GA,Carroll County,Distribution of COVID-19 deaths (%),1632,248,0.847,0.125,,,,,
GA,Carroll County,Distribution of population (%),1632,248,0.704,0.191,0.003,0.009,0,0.072,0.021
GA,Chatham County,Distribution of all-cause deaths (%),4406,477,0.619,0.347,,0.01,,0.022,
GA,Chatham County,Distribution of COVID-19 deaths (%),4406,477,0.57,0.382,,,,0.031,
GA,Chatham County,Distribution of population (%),4406,477,0.478,0.402,0.002,0.029,0.001,0.067,0.021
GA,Cherokee County,Distribution of all-cause deaths (%),1722,146,0.905,0.05,,0.007,,0.035,
GA,Cherokee County,Distribution of COVID-19 deaths (%),1722,146,0.911,,,,,,
GA,Cherokee County,Distribution of population (%),1722,146,0.778,0.07,0.002,0.02,0.001,0.11,0.019
GA,Clarke County,Distribution of all-cause deaths (%),2086,323,0.719,0.248,,0.007,,0.024,
GA,Clarke County,Distribution of COVID-19 deaths (%),2086,323,0.653,0.288,,,,0.05,
GA,Clarke County,Distribution of population (%),2086,323,0.551,0.277,0.002,0.04,0,0.11,0.02
GA,Clayton County,Distribution of all-cause deaths (%),1613,123,0.282,0.632,,0.035,,0.049,
GA,Clayton County,Distribution of COVID-19 deaths (%),1613,123,0.195,0.675,,,,,
GA,Clayton County,Distribution of population (%),1613,123,0.091,0.704,0.002,0.049,0.001,0.134,0.02
GA,Cobb County,Distribution of all-cause deaths (%),6864,806,0.718,0.215,,0.018,,0.046,0.002
GA,Cobb County,Distribution of COVID-19 deaths (%),6864,806,0.607,0.239,,0.02,,0.132,
GA,Cobb County,Distribution of population (%),6864,806,0.511,0.276,0.002,0.055,0,0.133,0.023
GA,Coffee County,Distribution of all-cause deaths (%),548,115,0.726,0.243,,,,0.031,
GA,Coffee County,Distribution of COVID-19 deaths (%),548,115,0.609,0.33,,,,,
GA,Coffee County,Distribution of population (%),548,115,0.573,0.283,0.002,0.008,0,0.121,0.013
GA,Coweta County,Distribution of all-cause deaths (%),1301,139,0.759,0.206,,,,0.028,
GA,Coweta County,Distribution of COVID-19 deaths (%),1301,139,0.655,0.273,,,,0.072,
GA,Coweta County,Distribution of population (%),1301,139,0.705,0.179,0.003,0.021,0.001,0.073,0.018
GA,DeKalb County,Distribution of all-cause deaths (%),6060,534,0.392,0.54,,0.032,,0.031,0.003
GA,DeKalb County,Distribution of COVID-19 deaths (%),6060,534,0.318,0.575,,0.051,,0.045,
GA,DeKalb County,Distribution of population (%),6060,534,0.293,0.536,0.001,0.064,0,0.085,0.019
GA,Dougherty County,Distribution of all-cause deaths (%),1754,321,0.429,0.557,,,,0.009,
GA,Dougherty County,Distribution of COVID-19 deaths (%),1754,321,0.327,0.654,,,,,
GA,Dougherty County,Distribution of population (%),1754,321,0.242,0.703,0.002,0.009,0.001,0.031,0.013
GA,Fayette County,Distribution of all-cause deaths (%),1345,204,0.623,0.335,,0.015,,0.023,
GA,Fayette County,Distribution of COVID-19 deaths (%),1345,204,0.471,0.485,,,,,
GA,Fayette County,Distribution of population (%),1345,204,0.605,0.246,0.002,0.05,0.001,0.075,0.021
GA,Floyd County,Distribution of all-cause deaths (%),2147,343,0.868,0.107,,,,0.02,
GA,Floyd County,Distribution of COVID-19 deaths (%),2147,343,0.854,0.102,,,,0.041,
GA,Floyd County,Distribution of population (%),2147,343,0.705,0.144,0.002,0.014,0.001,0.116,0.017
GA,Forsyth County,Distribution of all-cause deaths (%),1932,194,0.875,0.042,,0.041,,0.04,
GA,Forsyth County,Distribution of COVID-19 deaths (%),1932,194,0.778,,,0.067,,0.108,
GA,Forsyth County,Distribution of population (%),1932,194,0.69,0.04,0.002,0.154,0,0.097,0.017
GA,Fulton County,Distribution of all-cause deaths (%),11024,1210,0.437,0.503,,0.021,,0.036,0.002
GA,Fulton County,Distribution of COVID-19 deaths (%),11024,1210,0.351,0.537,,0.021,,0.085,
GA,Fulton County,Distribution of population (%),11024,1210,0.396,0.435,0.001,0.076,0,0.072,0.02
GA,Glynn County,Distribution of all-cause deaths (%),1363,172,0.763,0.209,,0.012,,0.015,
GA,Glynn County,Distribution of COVID-19 deaths (%),1363,172,0.657,0.297,,,,,
GA,Glynn County,Distribution of population (%),1363,172,0.635,0.259,0.002,0.015,0.001,0.068,0.018
GA,Gwinnett County,Distribution of all-cause deaths (%),5290,619,0.589,0.224,,0.091,,0.091,0.003
GA,Gwinnett County,Distribution of COVID-19 deaths (%),5290,619,0.42,0.228,,0.103,,0.241,
GA,Gwinnett County,Distribution of population (%),5290,619,0.354,0.28,0.002,0.124,0,0.217,0.024
GA,Hall County,Distribution of all-cause deaths (%),3498,609,0.861,0.07,,0.015,,0.052,
GA,Hall County,Distribution of COVID-19 deaths (%),3498,609,0.798,0.074,,0.021,,0.105,
GA,Hall County,Distribution of population (%),3498,609,0.601,0.073,0.002,0.02,0,0.291,0.013
GA,Henry County,Distribution of all-cause deaths (%),2346,242,0.536,0.409,,0.022,,0.029,
GA,Henry County,Distribution of COVID-19 deaths (%),2346,242,0.43,0.471,,,,0.074,
GA,Henry County,Distribution of population (%),2346,242,0.4,0.47,0.002,0.033,0.001,0.072,0.023
GA,Houston County,Distribution of all-cause deaths (%),1645,165,0.669,0.29,,0.019,,0.018,
GA,Houston County,Distribution of COVID-19 deaths (%),1645,165,0.558,0.4,,,,,
GA,Houston County,Distribution of population (%),1645,165,0.549,0.323,0.003,0.033,0.001,0.066,0.027
GA,Laurens County,Distribution of all-cause deaths (%),1001,168,0.673,0.318,,,,,
GA,Laurens County,Distribution of COVID-19 deaths (%),1001,168,0.655,0.339,,,,,
GA,Laurens County,Distribution of population (%),1001,168,0.574,0.372,0.002,0.011,0,0.029,0.012
GA,Lowndes County,Distribution of all-cause deaths (%),1493,249,0.63,0.346,,,,0.018,
GA,Lowndes County,Distribution of COVID-19 deaths (%),1493,249,0.586,0.382,,,,,
GA,Lowndes County,Distribution of population (%),1493,249,0.529,0.367,0.003,0.021,0.001,0.06,0.02
GA,Muscogee County,Distribution of all-cause deaths (%),3537,489,0.554,0.415,,0.011,,0.016,
GA,Muscogee County,Distribution of COVID-19 deaths (%),3537,489,0.499,0.454,,,,0.025,
GA,Muscogee County,Distribution of population (%),3537,489,0.396,0.465,0.004,0.028,0.002,0.077,0.029
GA,Newton County,Distribution of all-cause deaths (%),930,101,0.63,0.353,,,,0.013,
GA,Newton County,Distribution of COVID-19 deaths (%),930,101,0.683,0.287,,,,,
GA,Newton County,Distribution of population (%),930,101,0.439,0.465,0.002,0.011,0.001,0.061,0.02
GA,Paulding County,Distribution of all-cause deaths (%),965,101,0.84,0.126,,,,0.019,
GA,Paulding County,Distribution of COVID-19 deaths (%),965,101,0.851,0.109,,,,,
GA,Paulding County,Distribution of population (%),965,101,0.684,0.21,0.002,0.012,0.001,0.071,0.021
GA,Richmond County,Distribution of all-cause deaths (%),4784,775,0.53,0.438,,0.012,,0.018,
GA,Richmond County,Distribution of COVID-19 deaths (%),4784,775,0.507,0.449,,0.014,,0.028,
GA,Richmond County,Distribution of population (%),4784,775,0.337,0.565,0.003,0.017,0.002,0.051,0.026
GA,Rockdale County,Distribution of all-cause deaths (%),1005,122,0.525,0.439,,0.01,,0.023,
GA,Rockdale County,Distribution of COVID-19 deaths (%),1005,122,0.434,0.533,,,,,
GA,Rockdale County,Distribution of population (%),1005,122,0.289,0.564,0.002,0.018,0.001,0.105,0.021
